index	committee	date	subject
1	Labor & Workforce Development Public Hearing(CANCELED)	Wed, 19 Jun 2019 10:00:00 	
			http://lims.dccouncil.us/Legislation/B23-0092
			<p class="p3"><span style="font-size: 11.0pt; font-family: 'Calibri',sans-serif;">Improving Work Conditions for Retail and Grocery Workers</span></p>
2	Labor & Workforce Development Public Hearing(CANCELED)	Wed, 19 Jun 2019 10:00:00 	
			http://lims.dccouncil.us/Legislation/B23-0092
			<p class="p3"><span style="font-size: 11.0pt; font-family: 'Calibri',sans-serif;">Improving Work Conditions for Retail and Grocery Workers</span></p>
3	Facilities & Procurement Public Oversight Roundtable	Wed, 19 Jun 2019 10:00:00 	
			Contracting and Procurement Practices at the Department of General Services and the Office of Contracting and Procurement
4	Business & Economic Development Regular Meeting	Wed, 19 Jun 2019 10:00:00 	
			http://lims.dccouncil.us/Legislation/PR23-0282
			, “People’s Counsel Sandra Mattavous-Frye Confirmation Resolution of 2019”
			http://lims.dccouncil.us/Legislation/B23-0116
			, “Warehousing and Storage Eminent Domain Authority Act of 2019”
			http://lims.dccouncil.us/Legislation/B23-0135
			, “Power Line Undergrounding Program Certified Business Enterprise Utilization Amendment Act of 2019”
			http://lims.dccouncil.us/Legislation/B23-0075
			, “Mypheduh Films dba Sankofa Video and Books Real Property Tax Exemption Act of 2019”
5	Business & Economic Development Public Roundtable	Wed, 19 Jun 2019 10:30:00 	
			http://lims.dccouncil.us/Legislation/PR23-0300
			, “Alcoholic Beverage Regulation Control Board Donovan W. Anderson Confirmation Resolution of 2019”
			http://lims.dccouncil.us/Legislation/PR23-0301
			, “Alcoholic Beverage Regulation Control Board Bobby Cato, Jr. Confirmation Resolution of 2019”
			http://lims.dccouncil.us/Legislation/PR23-0344
			, “Alcoholic Beverage Regulation Control Board Rafi Aliya Crocket Confirmation Resolution of 2019”
6	Government Operations Public Hearing	Wed, 19 Jun 2019 14:30:00 	
			http://lims.dccouncil.us/Legislation/B23-0201
			 – Office of the Caribbean Establishment Act of 2019
7	Health Public Oversight Hearing	Thu, 20 Jun 2019 11:30:00 	
			The Not-For-Profit Hospital Corporation
8	Judiciary and Public Safety Public Hearing	Mon, 24 Jun 2019 10:30:00 	
			http://lims.dccouncil.us/Legislation/B23-0083
			 – the “Vulnerable User Collision Recovery Amendment Act of 2019,”
			http://lims.dccouncil.us/Legislation/B23-0134
			 – the “Community Harassment Prevention Amendment Act of 2019,”
			http://lims.dccouncil.us/Legislation/B23-0253
			 – the “Alternative Service of Process of District of Columbia Residents Amendment Act of 2019,” and
			http://lims.dccouncil.us/Legislation/B23-0300
			 – the “Antitrust Remedies Amendment Act of 2019.”
9	Legislative Meeting	Tue, 25 Jun 2019 10:00:00 	
			NoneType
10	Committee of the Whole Public Roundtable	Tue, 25 Jun 2019 14:00:00 	
			http://lims.dccouncil.us/Legislation/PR23-0334
11	Committee of the Whole Public Oversight Roundtable	Tue, 25 Jun 2019 15:00:00 	
			District of Columbia’s Office of Inspector General Report “Department of Consumer and Regulatory Affairs: Civil Infractions Program Lacked a Strong Internal Control Environment”
12	Committee of the Whole & Education Joint Public Hearing	Wed, 26 Jun 2019 10:00:00 	
			http://lims.dccouncil.us/Legislation/B23-0046
			 – the “At-Risk School Funding Transparency Amendment Act of 2019”
			http://lims.dccouncil.us/Legislation/B23-0239
			 – the “School Based Budgeting and Transparency Amendment Act of 2019”
13	Business & Economic Development Public Hearing	Wed, 26 Jun 2019 10:00:00 	
			http://lims.dccouncil.us/Legislation/B23-0210
			 – the “Manufacturer’s Satellite Taverns Amendment Act of 2019,”
			http://lims.dccouncil.us/Legislation/B23-0227
			 – the “Alcoholic Beverage Enforcement Amendment Act of 2019,”
			http://lims.dccouncil.us/Legislation/B23-0277
			 – the “Manufacturer and Pub Permit Parity Amendment Act of 2019,”
			http://lims.dccouncil.us/Legislation/B23-0254
			 – the “Alcoholic Beverage Control Board License Categories, Endorsements and Hourly Percentage Rate Amendment Act of 2019,” and
			http://lims.dccouncil.us/Legislation/B23-0255
			 – the “Alcoholic Beverage Procedural and Technical Amendment Act of 2019.”
14	Health Public Hearing	Wed, 26 Jun 2019 11:00:00 	
			http://lims.dccouncil.us/Legislation/B23-0171
			, “Minor Consent for Vaccinations Amendment Act of 2019”
			http://lims.dccouncil.us/Legislation/B23-0187
			, “Community Health Investment Act of 2019”
			http://lims.dccouncil.us/Legislation/B23-0261
			, “Electronic Medical Order for Scope pf Treatment Registry Amendment Act of 2019”
			http://lims.dccouncil.us/Legislation/B23-0269
			, “Health Care Reporting Amendment Act of 2019”
			http://lims.dccouncil.us/Legislation/B23-0275
			, “Clinics Licensing Amendment Act of 2019”
15	Judiciary and Public Safety Public Hearing	Thu, 27 Jun 2019 10:00:00 	
			NoneType
16	Committee of the Whole & Education Public Roundtable	Thu, 27 Jun 2019 10:00:00 	
			http://lims.dccouncil.us/Legislation/PR23-0221
			http://lims.dccouncil.us/Legislation/PR23-0222
			http://lims.dccouncil.us/Legislation/PR23-0342
17	Committee of the Whole Public Hearing	Thu, 27 Jun 2019 11:30:00 	
			http://lims.dccouncil.us/Legislation/B23-0216
			, Wells Middle School Designation Act of 2019;
